School ID, School Name, Percent in Poverty, Google Place ID\
227901101,ALLISON EL,92,ChIJ04RBdWa3RIYRgJ7aGK5dgXM
227901102,ANDREWS EL,91.02,ChIJ6YaMBenJRIYRhrPJHKXhGBU
227901104,BECKER EL,64.52,ChIJbSvrueG0RIYRxmI7kMMuRAY
227901105,BLACKSHEAR EL,82.49,ChIJORLPNri1RIYRiP9HBkbu5Iw
227901106,BLANTON EL,65.23,ChIJt00JZfzJRIYR5xqZyz3qn0M
227901108,BROOKE EL,92.22,ChIJR5zZUC20RIYRYGFcrJp1YwE
227901109,BROWN EL,89.63,ChIJ5XbXnTLKRIYRiXppwpjGnBw
227901111,CAMPBELL EL,81.45,ChIJW6gsUum1RIYRzx2uJyLQqwc
227901113,CUNNINGHAM EL,45.89,ChIJx45O611LW4YRaBzv7VHSoHk
227901114,DAWSON EL,70.92,ChIJj4XnHMK0RIYRlQNgmHUQvA8
227901116,GOVALLE EL,89.95,ChIJX5EN0Ne1RIYR4RJfILVN4TQ
227901118,HARRIS EL,91.71,ChIJVc827vDJRIYRZYTB5XehEog
227901120,JOSLIN EL,65.7,ChIJrziF4jVLW4YR3Gq6QBdWmno
227901123,MATHEWS EL,33.93,ChIJaZRrsmu1RIYRAWBuVaclQNY
227901124,METZ EL,89.9,ChIJp6cFLrW1RIYRqgzmwEq4pqc
227901125,OAK SPRINGS EL,95.75,ChIJVXywKtu1RIYRi178msBlYKU
227901126,ORTEGA EL,82.64,ChIJWReHcm-2RIYRisjtFi2Eh58
227901127,SANCHEZ EL,94.83,ChIJMZBaDqy1RIYRTBtfjUxeU48
227901129,PECAN SPRINGS EL,89.57,ChIJVzFqAyC2RIYRpLmWTkiL5Lg
227901130,PLEASANT HILL EL,6.59, ChIJXeiz-FCzRIYRxM6HKPUt7CE
227901132,REILLY EL,69.78,ChIJ_y-yRz_KRIYRyPuDzkQtq-A
227901133,RIDGETOP EL,43.01,ChIJ4XlReBLKRIYReVtjkjzp-i0
227901136,ST ELMO EL,77.29,ChIJQbteFLq0RIYR5HB4F-_wgjY
227901139,SIMS EL,92.31,ChIJzzZyzRK2RIYROF60XM6PeLs
227901140,TRAVIS HTS EL,71.2,ChIJDw2sX_e0RIYRumdl8u8LqrA
227901141,WALNUT CREEK EL,89.91,ChIJoTOZUUTJRIYRREfmYDAaZso
227901144,WOOTEN EL,90.64,ChIJ8wnR58nLRIYR5ZMIjm861h0
227901145,ZAVALA EL,90.99,ChIJH1m_dsq1RIYRlJNco7hEeO8
227901147,MENCHACA EL,42.84,ChIJYQsgZKZNW4YRPt76fdhYSx0
227901148,OAK HILL EL,40.59,ChIJsduYtM9LW4YRTR_ZGQhB9I8
227901149,BARRINGTON EL,93.09,ChIJTYxO6WLJRIYR1wInEqi6uEg
227901150,NORMAN EL,92.81,ChIJYahJPD-2RIYRVZVxjNjNe-c
227901151,PILLOW EL,71.05,ChIJbR8C9JjLRIYR_Lyze59xuR0
227901152,WOOLDRIDGE EL,91.84,ChIJTefbXMPLRIYR13v7TcEh0Pk
227901156,ODOM EL,80.89,ChIJy-xellVLW4YRUDZRtFSwcqo
227901157,WINN EL,90.63,ChIJLe2PCtDJRIYRdkZfF0342aw
